ICO_Name,ico_address,Whitepaper_Address,Original Error,no_tl,_merge_old,To_check,whitepaper_downloaded(Y/N),_merge,On the original ICO list,No,Red Flag Words
FintruX,https://icobench.com/ico/fintrux,https://www.fintrux.com/home/doc/whitepaper.pdf,,1749,3,,Y,1,,1270,11.0
FINX,https://icobench.com/ico/finx,https://www.finx-blockchain.com/finx/file/FINX_WhitePaper.pdf,,3391,1,Y,Y,3,,1271,5.0
Fire Lotto,https://icobench.com/ico/fire-lotto,https://firelotto.io/whitepaper_en.pdf,,3392,1,,Y,1,,1272,7.0
Firmo,https://icobench.com/ico/firmo,https://www.firmo.network/resources/FIRMO_TechnicalPaper.pdf,,3393,1,,Y,1,,1273,1.0
First Crypto ETF,https://icobench.com/ico/first-crypto-etf,http://firstcryptoetf.com/wp-content/uploads/2017/10/white_paper1-1.pdf,,829,3,Y,Y,3,,1274,1.0
FirstBlood,https://icobench.com/ico/firstblood,https://github.com/firstbloodio/white_paper/blob/master/FirstBlood%20White%20Paper.pdf,,300,3,Y,Y,3,,1275,1.0
FIT Token,https://icobench.com/ico/fit-token,https://fittoken.io/wp-content/uploads/2017/11/FIT_TOKENS%20White%20Paper%20Ver1F.pdf,,1852,3,Y,Y,3,,1276,1.0
Fitrova,https://icobench.com/ico/fitrova,https://www.fitrova.com/wp-content/uploads/Whitepaper.pdf,,2013,3,,Y,1,,1277,0.0
FiveStarMiningNetwork (PreICO),https://icobench.com/ico/fivestarminingnetwork,https://fivestarminingnetwork.com/wp-content/uploads/2018/07/Whitepaper-Fivestarminingnetwork.pdf,,3396,1,,Y,1,,1278,7.0
FIXY NETWORK,https://icobench.com/ico/fixy-network,http://fixyapp.io/whitepaper.pdf,,3397,1,Y,Y,3,,1279,0.0
Fizcal,https://icobench.com/ico/fizcal,https://fizcal.co/%2Fassets%2Fwhitepaper%2Ffizcalwhitepaperenglish.pdf,,3398,1,Y,N,3,,1280,
Flashmoni,https://icobench.com/ico/flashmoni,https://drive.google.com/open?id=10tlNa7GwOlaV7ZD7ovmYaOLq5sLSwUlU,,3399,1,,Y,1,,1281,4.0
Flixxo,https://icobench.com/ico/flixxo,https://flixxo.com/assets/docs/flixxo-white-paper_v0.5.pdf,,408,3,Y,Y,3,,1282,2.0
Fluence,https://icobench.com/ico/fluence,https://drive.google.com/file/d/0B07gyODhPstQWjVLMlkyVjRZVE0/view,,831,3,,Y,1,,1283,0.0
Fluon,https://icobench.com/ico/fluon,http://fluonecosystem.org/files/fluon_whitepaper_ENG.pdf,,3402,1,,Y,1,,1284,0.0
FLUX Token Sale,https://icobench.com/ico/flux-token-sale,https://drive.google.com/file/d/1YIa2789RZ182qQFVYniPYkcCBkRAjPUu/view,,3403,1,,Y,1,,1285,3.0
Fluxorin,https://icobench.com/ico/fluxorin,https://www.fluxorin.io/wp-content/uploads/2018/05/FLUXORIN.pdf,,3404,1,Y,Y,3,,1286,9.0
Fluzcoin (PreICO),https://icobench.com/ico/fluzcoin,https://fluzcoin.io/docs/Fluzcoin_Coin_Sale_Whitepaper.pdf,,3405,1,,Y,1,,1287,20.0
FluzFluz,https://icobench.com/ico/fluzfluz,https://ico.fluzfluz.com/docs/ICO-Fluz-Fluz-Whitepaper.pdf,,832,3,,Y,1,,1288,6.0
Flyp.me,https://icobench.com/ico/flyp-me,https://flyp.me/whitepaper.pdf,,247,3,,Y,1,,1289,0.0
FOAM,https://icobench.com/ico/foam,https://foam.space/publicAssets/FOAM_Whitepaper.pdf,,3407,1,,Y,1,,1290,4.0
FOAM,https://icobench.com/ico/foam,https://foam.space/publicAssets/FOAM_Whitepaper.pdf,,3408,1,,Double count (Foam),1,,1291,4.0
Follex,https://icobench.com/ico/follex,https://drive.google.com/file/d/1NLinuMbJgrz6bZQfR_zer9g2y7AZzXZf/view,,1789,3,,Y,1,,1292,7.0
Follow Coin,https://icobench.com/ico/follow-coin,https://followcoin.io/docs/followcoin-whitepaper.pdf,,834,3,Y,Y,3,,1293,18.0
Fondocoin,https://icobench.com/ico/fondocoin,https://www.fondo.network/fdc-whitepaper.pdf,,3409,1,,Y,1,,1294,1.0
FoodCoin,https://icobench.com/ico/foodcoin,https://www.foodcoin.io/files/doc/foodcoin-whitepaper-en.pdf,,3410,1,,Y,1,,1295,3.0
Foodimus,https://icobench.com/ico/foodimus,https://www.foodimus.com/wp-content/uploads/2017/11/foodimus-whitepaper.pdf,,835,3,,Y,1,,1296,3.0
FoodNation,https://icobench.com/ico/foodnation,https://files.foodnation.io/whitepaper.pdf,,3411,1,,Y,1,,1297,27.0
FOP Coin,https://icobench.com/ico/fop-coin,https://fopcoin.com/fopcoin-whitepaper.pdf,,3412,1,,Y,1,,1298,2.0
Forecast,https://icobench.com/ico/forecast,https://forecastico.co/White-Paper.pdf,,1860,3,,Y,1,,1299,4.0
Foreground,https://icobench.com/ico/foreground,https://foreground.io/whitepapers/foreground-whitepaper.pdf,,3,3,,Y,1,,1300,1.0
Forest Foundation,https://icobench.com/ico/forest-foundation,https://forest.io/pdf/ForestIO_Whitepaper_EN.pdf,,3413,1,Y,Y,3,,1301,1.0
Foresting,https://icobench.com/ico/foresting,https://forestingnetwork.com/whitepaper/FORESTING_Whitepaper_Eng_Ver.0.81.pdf,,3414,1,,Y,1,,1302,28.0
Forever Has Fallen,https://icobench.com/ico/forever-has-fallen,https://foreverhasfallen.com/assets/fhf_whitepaper.pdf,,3415,1,Y,Y,3,,1303,5.0
Formosa Financial,https://icobench.com/ico/formosa-financial,https://docs.wixstatic.com/ugd/e3269e_b0fdf52a734a4505ae568f97e45fb707.pdf,,3416,1,,Y,1,,1304,5.0
Fornicoin,https://icobench.com/ico/fornicoin,https://fornicoin.network/wp-content/uploads/2017/12/Fornicoin-Whitepaper.pdf,,1837,3,Y,Y,3,,1305,10.0
FortKnoxster,https://icobench.com/ico/fortknoxster,https://fortknoxster.com/FortKnoxster%20Whitepaper.pdf,,2014,3,,Y,1,,1306,5.0
Fortuna,https://icobench.com/ico/fortuna,https://fortuna-public.s3.amazonaws.com/Fortuna%20Whitepaper%20EN.pdf,,3417,1,,Y,1,,1307,15.0
Fortunetoken,https://icobench.com/ico/fortunetoken,http://fortunetoken.io/files/docs/FRNT_whitepaper.pdf,,838,3,,Y,1,,1308,1.0
Forty Seven Bank,https://icobench.com/ico/forty-seven-bank,https://drive.google.com/file/d/0BzvESRkgX-uDeHc1QjRzbHRBelU/view,,3418,1,,Y,1,,1309,0.0
Fox Trading,https://icobench.com/ico/fox-trading,https://foxtrading.io/doc/FoxTrading-Whitepaper_EN.pdf,,3419,1,,Y,1,,1310,27.0
Fr8 Network,https://icobench.com/ico/fr8-network,https://drive.google.com/file/d/17UV10bQIOHBbGtcpKPYSeIgnD2jTo70H/view,,1856,3,,Y,1,,1311,5.0
Fractal Token CrowdSale,https://icobench.com/ico/fractal-token-crowdsale,http://fto.ninja/wp-content/uploads/whitepaper.pdf,,3420,1,,Y,1,,1312,26.0
Frasindo,https://icobench.com/ico/frasindo,https://drive.google.com/open?id=1jWnP6nWK7omHNZZp4iUrhSAJu3BifGwt,,3421,1,,Y,1,,1313,4.0
Free Market Token,https://icobench.com/ico/free-market-token,https://freemarkettoken.io/wp-content/uploads/2018/04/ECS-and-FMT_12_4_18.pdf,,3422,1,,Y,1,,1314,8.0
Freed,https://icobench.com/ico/freed,https://freedcoin.io/WhitePaper_FREED_eng.pdf,,3423,1,,Y,1,,1315,29.0
Freedom Streaming,https://icobench.com/ico/freedom-streaming,https://freedomstreaming.io/assets/files/Whitepaper.pdf,,286,3,Y,Y,3,,1316,2.0
FReeStart (PreICO),https://icobench.com/ico/freestart,http://frscoin.com/downloads/White_Paper_FRS_EN.pdf,,3424,1,,Y,1,,1317,9.0
FreeZone,https://icobench.com/ico/freezone,http://freezone.one/downloads/FreeZone_White%20Paper.pdf,,3425,1,Y,Y,3,,1318,30.0
FRELDO (PreICO),https://icobench.com/ico/freldo,http://ico.freldo.com/wp-content/uploads/2018/06/WP-Freldo.pdf,,3426,1,,Y,1,,1319,13.0
FRESCO,https://icobench.com/ico/fresco,http://fresco.work/wp-content/uploads/2018/03/FRESCO-Whitepaper-V2.0-EN.pdf,,3427,1,Y,Y,3,,1320,19.0
Friend,https://icobench.com/ico/friend,https://friendup.cloud/templates/downloads/friend_whitepaper.pdf,,3428,1,,Y,1,,1321,4.0
Friendz,https://icobench.com/ico/friendz,https://friendz.io/file/whitepaper_icofriendz.pdf,,1847,3,Y,Y,3,,1322,2.0
Frink,https://icobench.com/ico/frink,https://docs.google.com/document/d/1kvV8jZ3m5tNmvN8SAJCwXWRU-tO1SmgE_j5mUTzAy9M/edit?usp=sharing,,1858,3,Y,Y,3,,1323,1.0
froshfeel,https://icobench.com/ico/froshfeel,https://www.froshfeel.com/whitepaper-froshfeel-froins.pdf,,3429,1,,Y,1,,1324,0.0
FruoCoin,https://icobench.com/ico/fruocoin,https://fruo.co/documents/whitepaper_v103.pdf,,2011,3,Y,Y,3,,1325,0.0
FTCoin,https://icobench.com/ico/ftcoin,https://ftcoin.io/sites/default/files/Digital%20ecosystem%20FTCoin%20%E2%80%93%20investment%20and%20trading%20of%20tomorrow.pdf,,3430,1,Y,Y,3,,1326,2.0
FTV Coin Deluxe,https://icobench.com/ico/ftv-coin-deluxe,https://ftv.com/c/wp-content/uploads/2018/07/FTV-Whitepaper_16.07-1.pdf,,3432,1,Y,Y,3,,1327,0.0
FTW,https://icobench.com/ico/ftw,https://s3-us-west-2.amazonaws.com/ftwcoin.io/FTW_Whitepaper.pdf,,3433,1,,Y,1,,1328,8.0
FUELDApp,https://icobench.com/ico/fueldapp,http://www.magellan.by/assets/images/wp_fueldapp/White_Paper_FUELDapp_ENG.pdf,,817,3,,Y,1,,1329,13.0
Fujinto,https://icobench.com/ico/fujinto,https://fujinto.io/uploads/fujinto-whitepaper.pdf,,238,3,Y,Y,3,,1330,3.0
Fund Platform,https://icobench.com/ico/fund-platform,https://fundplatform.io/assets/doc/Fund_Platform_White_paper_ver.2.1_Eng.pdf,,842,3,Y,Y,3,,1331,18.0
Fund Yourself Now,https://icobench.com/ico/fund-yourself-now,https://www.fundyourselfnow.com/wp-content/uploads/2017/04/FYN-Business_Outline-2017.pdf,,235,3,,Y,1,,1332,2.0
Fundaria,https://icobench.com/ico/fundaria,https://fundaria.com/data/ideas/1/documents/Fundaria%20White%20Paper.pdf,,845,3,,Y,1,,1333,3.0
FundersToken,https://icobench.com/ico/funderstoken,https://docs.wixstatic.com/ugd/e34917_6979bdbb80e0415883f201d0647d892a.pdf,,3434,1,,Y,1,,1334,0.0
FundFantasy,https://icobench.com/ico/fundfantasy,https://www.fundfantasy.io/assets/pdf/Whitepaper_en_v1.3.pdf,,1744,3,Y,Y,3,,1335,16.0
FunFair,https://icobench.com/ico/funfair,https://funfair.io/wp-content/uploads/2017/06/FunFair-Commercial-White-Paper.pdf,,117,3,Y,Y,3,,1336,2.0
Further Network (PreICO),https://icobench.com/ico/further-network,https://further.network/whitepaper/whitepaper-latest-en.pdf,,3435,1,,Y,1,,1337,7.0
Fusion,https://icobench.com/ico/fusion,http://www.fusion.org/css/FUSION%20Whitepaper%20V1.0.1.pdf,,1812,3,Y,Y,3,,1338,14.0
Futourist,https://icobench.com/ico/futourist,https://futourist.io/assets/Futourist_Whitepaper_2.1-8c2ee2a1a81fb946f36ded4b986a344d17fc9203229c774614cc2c55f465187a.pdf,,1861,3,,Y,1,,1339,9.0
Future Coin Light,https://icobench.com/ico/future-coin-light,https://futurecoinlight.com/wp-content/uploads/2018/01/FutureCoinLight-v1.2.pdf,,3436,1,Y,Y,3,,1340,6.0
FutureWorks Token,https://icobench.com/ico/futureworks-token,https://www.ftwtokens.io/assets/whitepaper.pdf,,2111,3,Y,Y,3,,1341,4.0
FuzeX,https://icobench.com/ico/fuzex,https://fuzex.co/wp-content/uploads/2018/01/FuzeX_One-Pager-ENGLISH.pdf,,3437,1,,Y,1,,1342,0.0
FXPay,https://icobench.com/ico/fxpay,https://fxpay.io/pdf/WhitePaper-FXpay-page.pdf,,3438,1,,Y,1,,1343,11.0
Gabro,https://icobench.com/ico/gabro,https://cdn.shopify.com/s/files/1/0067/8313/9898/files/Whitepaper_LongVersion_Final.pdf?8646894683941263922,,3440,1,Y,Y,3,,1344,11.0
Gagapay Network,https://icobench.com/ico/gagapay-network,https://drive.google.com/file/d/1db_Wvj7Hh2wh8vRiI2n6JTCzMIsOvCLS/view,,3441,1,,Y,1,,1345,11.0
Gainz Token,https://icobench.com/ico/gainz-token,https://gainztoken.io/wp-content/uploads/2018/03/gainz-token-whitepaper-2.25v10.pdf,,3442,1,,Y,1,,1346,1.0
Galactikka,https://icobench.com/ico/galactikka,https://drive.google.com/drive/u/1/folders/0B3opvrNCRCTjU0pjcUJwQzl6U1U,,852,3,Y,Y,3,,1347,1.0
Galion.io,https://icobench.com/ico/galion-io,https://s3-eu-west-1.amazonaws.com/galion/Galion_Whitepaper.pdf,,3444,1,,Y,1,,1348,5.0
Galleon Quest,https://icobench.com/ico/galleon-quest,https://www.galleonquest.io/pdf/Galleon-Quest-WhitePaper.pdf,,3445,1,Y,Y,3,,1349,24.0
GAMB,https://icobench.com/ico/gamb,https://gamb.io/files/gamb-whitepaper.pdf,,3446,1,,Y,1,,1350,16.0
Gamblica,https://icobench.com/ico/gamblica,https://gamblica.com/documents/WP_Gamblica_v.1.0.4_en.pdf,,3447,1,Y,Y,3,,1351,2.0
Game Gold,https://icobench.com/ico/game-gold,http://gamegold.money/WhitePapper.pdf,,3448,1,,Y,1,,1352,0.0
Game Stars,https://icobench.com/ico/game-stars,https://gamestars.io/img2/wp/GameStarsWP_En.pdf,,3449,1,,Y,1,,1353,15.0
Game.com,https://icobench.com/ico/game-com,https://ic.game.com/download/Game.com_Whitepaper_EN.pdf,,317,3,Y,N,3,,1354,
Gameflip - FLIP,https://icobench.com/ico/gameflip,https://tokensale.gameflip.com/static/Gameflip_whitepaper.pdf,,2094,3,,Y,1,,1355,1.0
GameReward,https://icobench.com/ico/gamereward,https://gamereward.io/docs/GameReward-WP-v0.2-2606.pdf,,3450,1,Y,Y,3,,1356,4.0
GameX,https://icobench.com/ico/gamex,https://gamex.co.in/gxfiles/GameX%20(GX)%20Whitepaper.pdf,,1864,3,,Y,1,,1357,4.0
Gaming Stars (PreICO),https://icobench.com/ico/gaming-stars,https://gaming-stars.net/wp-content/uploads/2018/01/ICO_Whitepaper6.pdf,,3452,1,,Y,1,,1358,6.0
GANA,https://icobench.com/ico/gana,https://cdn.ganacoin.io/wp/GANAwhitepaper_v2.1_eng.pdf,,3453,1,,Y,1,,1359,8.0
GAPro (PreICO),https://icobench.com/ico/gapro,https://www.gapro.io/wp.pdf,,3454,1,,Y,1,,1360,1.0
Garnet,https://icobench.com/ico/garnet,https://garnetcoin.com/assets/white-papersV2.pdf,,3455,1,Y,Y,3,,1361,47.0
Garuda Energy,https://icobench.com/ico/garuda-energy,http://garuda.energy/assets/garudawhitepaper.pdf,,3456,1,Y,Y,3,,1362,0.0
GasCompressorCoin,https://icobench.com/ico/gascompressorcoin,http://gas-com.group/files/whitepaper.pdf,,3457,1,Y,Y,3,,1363,6.0
Gastery,https://icobench.com/ico/gastery,https://gastery.io/docs/gastery_wp_EN.pdf,,3458,1,,Y,1,,1364,0.0
Gastro Advisor,https://icobench.com/ico/gastro-advisor,https://www.gastroadvisor.com/whitepaper.pdf,,3459,1,,Y,1,,1365,1.0
GATCOIN,https://icobench.com/ico/gatcoin,https://www.gatcoin.io/wp-content/uploads/2017/09/170919v2-Whitepaper-EN.pdf,,847,3,,Y,1,,1366,2.0
Gaus,https://icobench.com/ico/gaus,https://gaus.trade/Gaus_White_Paper(eng).pdf,,3460,1,,Y,1,,1367,8.0
GAWOONI,https://icobench.com/ico/gawooni,http://gawooni.co/docs/Gawooni_Games_Ecosphere_WP_1.1.pdf,,2124,3,Y,Y,3,,1368,0.0
GazeCoin,https://icobench.com/ico/gazecoin,https://www.gazecoin.io/static/GazeCoin_WhitePaper.pdf,,243,3,Y,Y,3,,1369,2.0
GBX,https://icobench.com/ico/gbx,https://gbx.gi/token-sales/GBX-Whitepaper.pdf,,3461,1,,Y,1,,1370,8.0
﻿GCOX,https://icobench.com/ico/gcox,https://gcox.com/whitepaper/ACCLAIM-GCOX%20WHITEPAPER%20ENGLISH.pdf,,3462,1,Y,Y,3,,1371,24.0
Geekzcode,https://icobench.com/ico/geekzcode,https://geekzcode.com/wp-geekzcode-white-paper.pdf,,3466,1,Y,Y,3,,1372,19.0
Geens,https://icobench.com/ico/geens,https://tokensale.geens.com/GeensTokenSaleWhitepaper.pdf,,860,3,Y,Y,3,,1373,4.0
Gelios,https://icobench.com/ico/gelios,https://gelios.io/wp-content/uploads/2017/11/Gelios-by-Brainysoft-Whitepaper-013.pdf,,861,3,Y,Y,3,,1374,40.0
GEMERA,https://icobench.com/ico/gemera,https://src.gemera.io/src/GemeraWhitePaper.pdf,,3467,1,,Y,1,,1375,5.0
Gems,https://icobench.com/ico/gems,https://gems.org/whitepaper.pdf,,2125,3,,Y,1,,1376,3.0
genEOS,https://icobench.com/ico/geneos,https://geneos.io/assets/files/geneos_white_paper.pdf,,3469,1,Y,Y,3,,1377,9.0
Genesis,https://icobench.com/ico/genesis,https://genesisfound.io/doc/wp_en.pdf,,3470,1,,Y,1,,1378,0.0
Genesis Space,https://icobench.com/ico/genesis-space,http://thegenesis.space/whitepapers/Genesis%20Space%20Whitepaper.pdf,,3471,1,,Y,1,,1379,4.0
Genesis Vision,https://icobench.com/ico/genesis-vision,https://genesis.vision/white-paper-eng.pdf,,33,3,,Y,1,,1380,7.0
Genesis World,https://icobench.com/ico/genesis-world,https://genesis.world/GenesisWhitePaperEng.pdf,,3472,1,,Y,1,,1381,4.0
Genevieve VC,https://icobench.com/ico/genevieve-vc,https://genevieveco.io/media/pdf/Genevie%CC%80ve%20Whitepaperv3.22.pdf,,2168,3,Y,Y (Changed name),3,,1382,3.0
GENEXI,https://icobench.com/ico/genexi,https://genexi.io/WP.pdf,,3473,1,,Y,1,,1383,4.0
GenieICO,https://icobench.com/ico/genieico,https://drive.google.com/file/d/1wloXd2lzW_94Q-nVbGjXPj0nT4aiuM97/view,,1811,3,Y,Y,3,,1384,20.0
Genuine Fashion,https://icobench.com/ico/genuine-fashion-token,https://genuinefashiontoken.com/Genuine-Fashion-Token-Whitepaper.pdf,,3474,1,,Y,1,,1385,2.0
GeoFunders,https://icobench.com/ico/geofunders,http://www.geofounders.com/GeoFoundersWhitePaper.pdf,,864,3,Y,Y,3,,1386,2.0
GeoManna (PreICO),https://icobench.com/ico/geomanna,http://geomanna.com/docs/white-paper.pdf,,3475,1,,Y,1,,1387,0.0
Germoney,https://icobench.com/ico/germoney,http://germoney.cc/wp-content/uploads/2018/02/Whitepaper_Germoney-Crypto-Token_V2-1-2-2.pdf,,3476,1,,Y,1,,1388,1.0
Gese (PreICO),https://icobench.com/ico/gese,https://drive.google.com/file/d/1AZTWSnpttM6c2MmjfHXyAPbftly4-Ke5/view,,3477,1,,Y,1,,1389,10.0
Get Do It,https://icobench.com/ico/get-do-it,https://getdoit.io/en/GetDoIt_Whitepaper.pdf,,3478,1,,Y,1,,1390,5.0
Getline,https://icobench.com/ico/getline,https://landing.getline.in/whitepaper.pdf,,3479,1,,Y,1,,1391,29.0
GFC,https://icobench.com/ico/gfc,http://www.greekfoodcorridors.com/pdf/GFC_White_Paper.pdf,,3480,1,,Y,1,,1392,11.0
G-Global,https://icobench.com/ico/g-global,http://gglobal.io/pdf/G-GlobalWPEng.pdf,,1866,3,,Y,1,,1393,0.0
GGRocket,https://icobench.com/ico/ggrocket,https://ggrocket.io/wp/GGRocket_Whitepaper_en.pdf?v=20180608105917,,3481,1,,Y,1,,1394,0.0
GGX,https://icobench.com/ico/ggx,https://ggxproject.com/WHITE_PAPER_GGX.pdf,,3482,1,,Y,1,,1395,0.0
GIDCoin (PreICO),https://icobench.com/ico/gidcoin,https://gidcoin.io/wp-content/uploads/2018/05/WhitePaper_En_GIDCOIN_0418.pdf,,3483,1,,Y,1,,1396,9.0
GIF by SOCIFI,https://icobench.com/ico/gif-by-socifi,https://drive.google.com/file/d/0B16wHRja8doNNVhWRElYRmxKWkk/view,,3484,1,,Y,1,,1397,8.0
GIFcoin,https://icobench.com/ico/gifcoin,https://www.gifcoin.io/GifCoin-WhitePaper.pdf,,1867,3,,Y,1,,1398,5.0
Giftcoin,https://icobench.com/ico/giftcoin,https://www.giftcoin.org/GiftCoin_Whitepaper.pdf,,3485,1,,Y,1,,1399,15.0
GIFTO,https://icobench.com/ico/gifto,https://gifto.io/GIFTO_Whitepaper_V1.3_20171122.pdf,,338,3,Y,Y,3,,1400,1.0
Giftz.io,https://icobench.com/ico/giftz-io,https://docs.wixstatic.com/ugd/12ea17_a57aa5a16c2e4254953964beb45009ee.pdf,,867,3,,Y,1,,1401,5.0
GIG9,https://icobench.com/ico/gig9,https://s3-us-west-2.amazonaws.com/gig9/Gig9_Whitepaper.pdf,,3486,1,,Y,1,,1402,0.0
Giga Watt,https://icobench.com/ico/giga-watt,https://cryptonomos.com/wtt/white-paper.pdf,,226,3,Y,Y,3,,1403,8.0
GigEcoin,https://icobench.com/ico/gigecoin,http://gigecoin.com/pdf/whitepaper.pdf,,868,3,Y,Y,3,,1404,11.0
Gilgam,https://icobench.com/ico/gilgam,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,,869,3,,Y,1,,1405,2.0
Gilgamesh Platform,https://icobench.com/ico/gilgamesh-platform,https://static.gilgameshplatform.com/pdf/whitepaper.pdf,,1868,3,,Y,1,,1406,6.0
Gimli,https://icobench.com/ico/gimli,http://gimli.io/wp-content/uploads/2017/07/Gimli-white-paper.pdf,,295,3,Y,Y,3,,1407,5.0
Gimmer,https://icobench.com/ico/gimmer,https://token.gimmer.net/assets/docs/gimmer-wp-en.pdf,,1783,3,,Y,1,,1408,15.0
GINEX,https://icobench.com/ico/ginex,http://www.ginex.tech/documents/Whitepaper.pdf,,3488,1,,Y,1,,1409,15.0
GivaCoin,https://icobench.com/ico/givacoin,https://www.givacoin.io/wp-content/uploads/2017/10/GivaCoin-Whitepaper-v1.0-ENG.pdf,,2169,3,Y,Y,3,,1410,6.0
Gizer,https://icobench.com/ico/gizer,https://tokensale.gizer.io/wp-content/uploads/2017/09/Gizer_Whitepaper_V2.1-1.pdf,,874,3,Y,Y,3,,1411,0.0
GL TOKEN,https://icobench.com/ico/gl-token,https://gltoken.io/wp-content/uploads/2018/02/GLToken-Whitepaper-2018-2.pdf,,3489,1,Y,Y,3,,1412,1.0
GladAge,https://icobench.com/ico/gladage,https://gladage.com/assets/whitepaper.pdf,,3490,1,,Y,1,,1413,3.0
Gladius,https://icobench.com/ico/gladius,https://gladius.io/pdf/gladius-whitepaper.pdf,,198,3,Y,Y,3,,1414,1.0
GLEDOS,https://icobench.com/ico/gledos,https://gledos.io/docs/gledos-white-paper.pdf,,3491,1,,Y,1,,1415,9.0
GlitzKoin,https://icobench.com/ico/glitzkoin,https://www.glitzkoin.com/dist/img/pdf/Glitzkoin-Brochure.pdf,,3492,1,Y,Y,3,,1416,0.0
Global Finances,https://icobench.com/ico/global-finances,https://globalfinances.io/src/files/whitepaper_globalfinances_io_en.pdf,,2085,3,,Y,1,,1417,11.0
Global Jobcoin,https://icobench.com/ico/global-jobcoin,https://www.globaljobcoin.com/media/files/documents/GJC_Whitepaper.pdf,,84,3,,Y,1,,1418,5.0
Global Metrology Project,https://icobench.com/ico/global-metrology-project,https://gmp.im/images/docs/GMP_Project_WhitePapper_EN.pdf,,875,3,Y,Y,3,,1419,21.0
Global Pay Net,https://icobench.com/ico/global-pay-net,https://globalpaynet.com/sites/all/themes/new/pdf/GPN-whitepaper.pdf,,3493,1,,Y,1,,1420,0.0
Global RE Bitcoin,https://icobench.com/ico/global-re-bitcoin,https://uploads-ssl.webflow.com/5a31752dfd7b9d00016b51ca/5a94e34e41e049000188f84f_GRBWhitepaper.pdf,,3494,1,,Y,1,,1421,0.0
Global REIT,https://icobench.com/ico/global-reit,https://globalreit.io/front/whitepaper/Global-REIT.pdf,,3495,1,,Y,1,,1422,14.0
Global Shrimp Coin,https://icobench.com/ico/global-shrimp-coin,https://globalshrimp.io/pdf/globalshrimpcoin-whitepaper.pdf,,3496,1,Y,Y,3,,1423,4.0
Global Spy,https://icobench.com/ico/global-spy,http://www.globalspy.eu/global_spy.pdf,,3497,1,,Y,1,,1424,9.0
GlobalCarService,https://icobench.com/ico/globalcarservice,https://gcar.pro/files/whitepaper-en.pdf,,3498,1,,Y,1,,1425,1.0
Globatalent,https://icobench.com/ico/globatalent,https://globatalent.com/sport-blockchain/white-paper-Globatalent.pdf,,3499,1,,Y,1,,1426,7.0
Globatrix,https://icobench.com/ico/globatrix,https://github.com/gruad-admin/globatrix/blob/master/Project_Globatrix_Whitepaper_v.1.3.pdf,,3500,1,Y,Y,3,,1427,0.0
Globcoin,https://icobench.com/ico/globcoin,https://globcoin.io/assets/whitepaper.pdf,,2065,3,,Y,1,,1428,4.0
GlobeCas (PreICO),https://icobench.com/ico/globecas,https://www.globecas.com/file/en_US/globecas_whitepaper.pdf,,3501,1,Y,Y,3,,1429,3.0
GlobeTrotter,https://icobench.com/ico/globetrotter,https://docs.wixstatic.com/ugd/e8cc17_8b6740dc0f2248f998bb2b1742a1c7d8.pdf,,1627,3,,Y,1,,1430,16.0
GlobexSCI,https://icobench.com/ico/globexsci,http://globexsci.io/wp-content/uploads/2018/02/Globex-WP-engl-NEW.pdf,,3502,1,Y,Y,3,,1431,2.0
Globitex,https://icobench.com/ico/globitex,https://www.globitexico.com/wp.pdf,,1164,3,,Y,1,,1432,0.0
Glu,https://icobench.com/ico/glu,https://www.glutoken.com/wp-content/uploads/2017/08/Gluon-Whitepaper.pdf,,878,3,Y,Double count (Gluon),3,,1433,
Gluon,https://icobench.com/ico/gluon,https://www.gluon.com/whitepaper.pdf,,1870,3,Y,Y,3,,1434,1.0
GLXCoin,https://icobench.com/ico/glxcoin,https://s3.amazonaws.com/glx-wp-downloads/GLX-Global-Listing-Exchange-White-Paper.pdf,,2055,3,Y,Y,3,,1435,1.0
Gnome Invasion,https://icobench.com/ico/gnome-invasion,http://gnomeinvasion.io/wp-content/uploads/2018/05/GIT-Whitepaper-1.pdf,,3504,1,,Y,1,,1436,8.0
Gnosis,https://icobench.com/ico/gnosis,https://gnosis.pm/resources/default/pdf/gnosis_whitepaper.pdf,,188,3,Y,Y,3,,1437,0.0
GO CUBO LODGE CLUB,https://icobench.com/ico/go-cubo-lodge-club,https://goclc.io/docs/WHITE_PAPER_GO_CLC.pdf,,3505,1,Y,Y,3,,1438,10.0
Goal Bonanza,https://icobench.com/ico/goal-bonanza,http://www.goalbonanza.com/wp-content/uploads/2017/09/Goal-Bonanza-White-Paper-v1.0.pdf,,212,3,Y,Y,3,,1439,58.0
GoChain,https://icobench.com/ico/gochain,https://gochain.io/gochain-whitepaper-v1.pdf,,3506,1,,Y,1,,1440,1.0
Godzillion,https://icobench.com/ico/godzillion,https://godzillion.io/gz_modules/docs/godz_white_paper.pdf,,175,3,,Y,1,,1441,54.0
GOeureka,https://icobench.com/ico/goeureka,https://goeureka.io/static/whitepaper/GOeureka-whitepaper.pdf,,3507,1,,Y,1,,1442,4.0
GoHelpFund,https://icobench.com/ico/gohelpfund,https://gohelpfund.com/assets/whitepaper.pdf,,3508,1,,Y,1,,1443,0.0
Gold Bits Coin,https://icobench.com/ico/gold-bits-coin,https://goldbitscoin.com/pdf/Gold-Bits-Coin-White-Paper.pdf,,3509,1,,Y,1,,1444,6.0
